Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
532477,UNIONBANK,A,64.80,65.30,62.00,63.10,1774135,1125.29,7130
507685,WIPRO,A,396.60,399.45,394.10,397.15,283865,1124.39,3473
539277,ALSTONE,XT,259.60,259.60,259.40,259.60,432531,1122.84,10430
540678,COCHINSHIP,A,668.80,684.00,653.15,677.70,167823,1119.12,6327
539437,IDFCFIRSTB,A,57.30,57.65,56.70,57.15,1914282,1094.21,2633
532483,CANBK,A,304.00,309.90,303.25,309.25,345359,1059.68,4338
532667,SUZLON,A,8.24,8.30,8.08,8.19,12786803,1050.29,5425
540180,VBL,A,1089.00,1115.00,1084.15,1093.35,94779,1043.68,8329
535789,IBULHSGFIN,A,135.05,136.50,131.50,132.90,777447,1041.11,5807
543265,RAILTEL,A,126.50,137.70,125.55,135.90,771147,1030.46,8645
532234,NATIONALUM,A,78.20,78.80,77.30,78.35,1278976,999.74,5363
500103,BHEL,A,70.70,71.35,70.10,70.30,1394043,985.18,5611
530965,IOC,A,69.55,69.75,69.15,69.65,1383530,960.48,2515
500400,TATAPOWER,A,228.10,230.15,228.00,229.50,418489,958.05,4266
539254,ADANITRANS,A,3251.25,3304.75,3251.25,3289.35,28993,951.63,668
540376,DMART,A,4090.00,4108.25,4045.00,4054.50,23200,947.55,1713
500477,ASHOKLEY,A,152.80,153.10,149.50,150.15,623051,939.53,7458
500113,SAIL,A,86.20,87.20,85.10,86.15,1089024,933.72,6083
500480,CUMMINSIND,A,1348.05,1374.65,1334.15,1373.05,69227,933.53,2918
517271,HBLPOWER,B,99.90,106.25,99.90,104.10,891990,929.87,6244
532848,DELTACORP,A,222.15,232.05,222.15,228.05,394312,901.24,4593
532286,JINDALSTEL,A,513.50,525.00,511.75,523.35,173526,898.09,4013
532805,REDINGTON,A,159.00,161.85,156.30,159.25,559267,891.73,7351
526371,NMDC,A,109.60,111.80,107.80,109.00,814417,889.00,6148
500575,VOLTAS,A,823.60,824.30,816.10,818.95,106579,872.97,1259
500087,CIPLA,A,1129.20,1133.00,1111.25,1118.60,76106,854.76,3633
532432,UNITDSPR,A,881.75,910.00,875.60,905.55,95214,850.89,2598
543308,KIMS,A,1580.00,1669.10,1580.00,1608.60,50697,827.34,7012
532627,JPPOWER,A,7.47,7.58,7.40,7.42,10986225,820.58,8708
501455,GREAVESCOT,A,156.35,164.40,152.60,153.50,521620,819.52,7770
500182,HEROMOTOCO,A,2700.00,2753.70,2690.40,2729.90,29698,812.31,2190
500228,JSWSTEEL,A,718.00,724.70,713.00,722.20,112348,804.49,2163
500410,ACC,A,2436.05,2514.95,2436.05,2477.80,32129,795.87,2600
512463,SHRGLTR,X,4.71,4.91,4.60,4.85,16383047,771.26,1599
500049,BEL,A,106.50,107.40,105.45,107.05,722481,769.40,4138
543620,INA,M,116.00,121.00,107.35,118.60,678000,758.96,212
521064,TRIDENT,A,35.05,36.35,35.05,35.65,2111897,756.52,9466
500790,NESTLEIND,A,20199.00,20199.00,19858.05,20059.50,3659,731.58,400
505200,EICHERMOT,A,3516.15,3555.35,3500.70,3510.20,19920,702.22,1080
506854,TANFACIND,X,926.00,1034.25,926.00,1032.75,68706,699.87,1329
543573,SYRMA,B,301.00,309.00,288.80,305.55,232950,697.38,5871
532670,RENUKA,A,56.65,58.25,56.65,57.55,1210284,695.82,4779
500300,GRASIM,A,1750.00,1756.15,1712.30,1734.10,39873,691.54,1627
500825,BRITANNIA,A,4108.05,4151.00,4089.65,4139.55,16685,688.08,1062
513599,HINDCOPPER,A,117.00,119.45,115.50,119.15,585429,687.58,5968
541956,IRCON,A,54.00,56.30,53.60,55.65,1238997,679.62,5208
532749,ALLCARGO,A,475.55,483.70,458.85,466.00,144171,678.80,4617
541153,BANDHANBNK,A,226.50,229.35,226.25,228.80,297311,677.13,3194
540115,LTTS,A,3815.95,3817.80,3712.85,3765.95,17999,675.24,2369
506401,DEEPAKNI,A,2141.30,2200.00,2140.35,2188.50,30850,672.70,2285
543621,CARGOSOL,M,80.10,83.00,70.80,72.40,880000,662.10,213
